"animal","condition","source","target","density"
"night2","lightON","VM-thalamus","VMH",0.032967032967033
"night2","lightON","VM-thalamus","PVH",0.0256410256410256
"night2","lightON","VM-thalamus","DMH",0
"night2","lightON","VM-thalamus","AH",0.010989010989011
"night2","lightON","VMH","VM-thalamus",0.021978021978022
"night2","lightON","VMH","PVH",0
"night2","lightON","VMH","DMH",0
"night2","lightON","VMH","AH",0
"night2","lightON","PVH","VM-thalamus",0.0256410256410256
"night2","lightON","PVH","VMH",0.0476190476190476
"night2","lightON","PVH","DMH",0
"night2","lightON","PVH","AH",0
"night2","lightON","DMH","VM-thalamus",0.0384615384615385
"night2","lightON","DMH","VMH",0
"night2","lightON","DMH","PVH",0
"night2","lightON","DMH","AH",0
"night2","lightON","AH","VM-thalamus",0.021978021978022
"night2","lightON","AH","VMH",0.0408163265306122
"night2","lightON","AH","PVH",0.0476190476190476
"night2","lightON","AH","DMH",0
